Location,n_obs,MinTemp_mean,MaxTemp_mean,Temp9am_mean,Temp3pm_mean,Humidity9am_mean,Humidity3pm_mean,Pressure9am_mean,Pressure3pm_mean,Cloud9am_mean,Cloud3pm_mean,WindGustSpeed_mean,WindSpeed9am_mean,WindSpeed3pm_mean,Rainfall_mean,Evaporation_mean,Sunshine_mean,pvout_mean
Adelaide,2178,12.525310059715205,22.78106617647059,16.831494252873565,21.449425287356323,60.06988505747126,44.996780128794846,1018.7115508513576,1016.7777726645191,,,36.50323774283071,9.998160073597056,15.51931922723091,1.5255419415645617,5.7567869415807555,7.755278470490441,4.384775482878393
Albany,2051,12.901591248135256,20.003743842364532,16.196347482724583,18.333291219204042,74.8355621594849,67.52088607594936,1018.3726155358898,1016.5845624385447,5.176615688209176,4.895833333333333,,12.536779324055667,18.907702100572884,2.2084396467124634,4.215545992469069,6.629655575014595,3.844816339259245
Albury,2142,9.497053320860617,22.52928538066324,14.275105091078935,21.260121552127163,74.3120037365717,48.10331930808789,1018.3820728291316,1015.7602150537634,6.417748917748917,5.476,32.85473289597001,8.200561009817672,14.403648269410665,2.039530516431925,,,4.4449591928598835
AliceSprings,2119,13.219641170915958,29.295516753185463,21.378999528079284,28.05826251180359,39.83412098298677,24.25390070921986,1016.610103871577,1012.8044874822863,2.867129135538954,3.2736559139784944,40.460287081339715,14.659112370160528,18.018885741265343,0.881267738883633,9.02409392547218,9.545709382151031,5.246265314063248
BadgerysCreek,2041,11.13257874015748,23.9621873467386,16.54388560157791,22.464560710760118,76.76995537927615,51.163609320773425,1018.5776804123711,1015.7648760330579,,,33.49679645145392,8.088845014807502,13.97874443895205,2.115542228885557,,,4.167959154868613
Ballarat,2122,7.284865629420085,18.234276284771337,11.622195929957407,16.760056657223796,81.75083056478405,58.84742560226736,1018.1707641196012,1016.5548693586699,5.8368999421631,6.285094066570188,44.64194008559201,19.880851063829788,22.706603773584906,1.5237240075614367,,,3.9120612193127067
Bendigo,2110,8.524549763033175,21.429587482219063,13.753791469194313,20.067804646752016,70.7561669829222,46.859174964438125,1018.0583055687767,1015.9226128266033,4.425,4.858390517779164,38.86749879980797,12.971048884670147,17.238253440911247,1.556905552918842,3.754054054054054,,4.357367379324777
Brisbane,2202,16.374988631195997,26.411874431301186,21.802362562471604,24.725113947128534,63.85733757383008,53.66043755697356,1018.2893732970028,1015.1443889141299,3.9173103134938665,3.87005906406179,28.229433272394882,6.990917347865577,10.955474784189004,3.170339761248852,5.413111009593421,8.096908167974158,4.356816301540452
Cairns,2101,21.17686815801999,29.532889100428367,25.77753450737744,27.880485483103286,69.9719181342218,61.711565920990004,1014.1221799143266,1011.0700618752976,4.577157360406091,4.430973000509424,38.111536620392535,15.966682532127559,21.94904761904762,5.661007194244605,6.252294557097118,7.584178610804852,4.397265278563207
Canberra,2393,6.790928093645485,20.9997491638796,12.66376994122586,19.482991202346042,73.1115368241805,45.63407469576165,1019.018836689038,1016.2717925793473,4.887332521315469,4.849426063470628,39.959240389069016,10.437359676695106,19.101702508960575,1.7361764705882354,4.470934799685781,7.411938872970392,4.528408186776297
Cobar,2090,13.250742692860564,25.993444976076557,18.21832134292566,24.671318944844124,54.891153081510936,33.624441132637855,1017.9048745173744,1015.2402315484804,3.2983124659771366,3.845415778251599,36.60766246362755,14.595192307692308,15.023043686989919,1.1014853857211309,6.792953200645509,8.944935064935066,4.890979601412403
CoffsHarbour,2066,14.453343023255814,23.9947138700291,20.206489104116223,22.36143410852713,67.83066472586123,62.336412250850756,1018.2476775226908,1015.8852029914531,4.26867627785059,4.499024072869226,39.56648648648649,15.382087970323264,21.421303656597775,5.2910063198833255,4.0087060702875394,7.454777672658468,4.368469423177291
Dartmoor,2067,8.581337857489093,19.696129656507015,12.548571428571428,18.18973862536302,85.31776180698152,62.43003587903639,1018.1259922555662,1016.5923970944309,,,38.80590513068732,10.818886198547215,17.954985479186835,2.0426563257392147,3.3306532663316584,6.406579693703914,3.687816323066244
Darwin,2217,23.168907942238267,32.511411817771766,27.150112764997747,31.055595667870033,68.38673285198556,51.73420577617328,1011.9106901217862,1008.3559115523467,4.320848375451264,4.275846501128668,40.646118721461185,14.943566591422123,20.842057761732853,5.314930085701398,6.287172413793104,8.493044263775971,4.661326486237195
GoldCoast,2057,17.332766164316965,25.748346303501943,22.324842002916867,23.731939718035974,66.50439024390244,63.0565577766943,1017.9035002430725,1015.1947496353914,,,42.5595,19.452894995093228,25.851616062683643,3.9093610698365526,,,4.380367347172329
Hobart,2239,9.095310406431443,17.91170688114388,12.507905314872712,16.230710773357174,65.52442850739578,52.76177658142665,1014.504691689008,1012.9102770330653,4.90625,5.008534850640114,47.85354896675651,16.376953997320232,19.702412868632706,1.5850759606791778,3.585522788203753,6.56042133572389,3.643367339153679
Katherine,1065,20.48672480620155,34.92542857142857,26.6111753371869,33.529965156794425,63.277120315581854,42.21653543307087,1012.9166353383459,1008.594533459001,2.448940269749518,3.1794425087108014,38.80057526366251,12.150375939849624,15.770754716981132,2.9268500948766603,7.430348258706467,,4.966448968770552
Launceston,2072,7.810633156114065,19.021342346692418,12.026872885451908,17.761315280464217,79.63025616239729,57.272243713733076,1015.8486902927582,1013.9134822804314,6.271428571428571,5.670781893004115,35.31289537712895,8.286611889801836,15.606866537717602,1.979138431752178,6.352884615384616,,4.038734708513532
Melbourne,1695,11.774041297935103,20.864306784660766,14.663164108618655,19.317838157117542,67.2031896042528,51.09461856889415,1017.7574041297935,1015.9080283353011,5.279349363507779,5.365622723962127,45.385892116182575,19.061393152302244,21.856637168141592,1.7365336658354116,4.606961651917405,6.438842975206612,3.833020404893525
MelbourneAirport,2139,10.024170172978028,20.551005142589993,14.175128564749883,19.014679756895745,70.09700093720713,50.97470725995316,1018.0393641888734,1016.2441795231416,5.255726975222067,5.256194483403459,46.94692343823391,20.29172510518934,23.24918186068256,1.4557269752220665,4.706878802058961,6.376145930776427,3.8412040642329623
Mildura,2124,10.724293785310735,24.783521657250468,15.486299435028249,23.399576071596798,64.12576542628356,35.28099952852428,1018.7949575871819,1016.2559377945335,3.4266409266409266,3.956973293768546,37.36192271442036,13.885539331135186,16.77720207253886,0.9634778510838832,5.928739002932551,8.449558390579,4.73246938355115
Moree,2020,12.851213472015848,26.91683168316832,18.85272277227723,25.613712871287127,61.1864154685176,35.897766749379656,1018.3264851485148,1014.9420505200594,3.3353329334133175,3.99203187250996,39.83002544529262,18.01656626506024,16.93119035660472,1.7229949238578681,7.681377551020408,8.887308228730822,4.86079588714911
MountGambier,2140,8.906030855539973,19.741000467508183,13.78518691588785,18.09564810481984,75.44090056285178,57.409559512652294,1017.9690186915889,1016.4464419475656,5.562984496124031,5.555339805825243,42.863507109004736,17.57377049180328,22.434803001876173,2.169821930646673,3.442034445640474,6.434405670665213,3.8026938924984055
MountGinini,2025,3.692195367573011,11.831761786600497,6.937381085618355,10.359731182795699,77.60597519729426,69.69297297297297,,,,,46.07936507936508,15.997904662126768,15.075078206465069,3.2253822629969418,,,4.36844895810497
Newcastle,2096,13.707293868921777,24.144062657908034,18.095603840323395,22.448378378378376,73.97368421052632,56.91389830508474,,,4.075012671059301,4.243407707910751,,6.048346055979644,10.683708248125425,3.3060547813551175,,,4.339020437123824
Nhil,1136,8.983362676056338,22.379489436619718,13.321126760563379,20.847271126760564,73.40845070422536,45.08450704225352,1018.4986795774648,1016.3767605633802,,,42.54008810572687,16.31073943661972,21.1056338028169,0.9283318623124448,,,4.385999990969288
NorahHead,2028,15.417772277227723,22.691403162055337,18.543629152206247,20.848985650667988,74.59395141298958,67.71039603960396,1018.1358238495794,1015.8733695652173,,,42.33432098765432,13.843827466534457,21.12778603268945,3.5525474525474525,,,4.296102027503812
Nuriootpa,2110,9.39353919239905,21.72589073634204,14.881235154394298,20.308689458689457,66.6592099000476,45.44645406949072,1018.8641805225653,1016.7605413105414,4.711319822046466,4.925287356321839,40.672413793103445,14.320133587786259,18.13001912045889,1.3880816714150048,5.103555555555556,7.635828343313373,4.400469400444809
PearceRAAF,1953,12.501033591731266,26.352677651905253,19.03491246138002,24.826934984520122,60.25824742268041,41.205366357069146,1017.8014933058703,1015.2005678884874,3.797478329393223,3.9621087314662273,43.63185935002664,16.0840206185567,20.234262125902994,1.5976968398500269,,8.924102564102563,4.739673468531395
Penrith,2059,12.582083739045764,24.74341913550267,16.98229828850856,23.341910331384014,75.56634952428642,48.81054201889607,,,,,31.87768031189084,6.405974534769833,12.004388103364212,2.1468703794972894,,,4.146979614179962
Perth,2262,12.896153846153846,25.01162687886826,18.501370468611846,23.4484741264927,62.93173758865248,46.848471422241914,1017.8261831048209,1015.4395842547544,3.407522123893805,3.5119469026548673,34.80301018149624,10.689655172413794,14.421052631578947,1.9735632183908045,5.55106100795756,8.732964111652636,4.760877580058818
PerthAirport,2167,12.538394093216429,25.412321181356713,18.712182741116752,23.970590951061865,58.96677434240886,42.20960295475531,1017.8703139427516,1015.3681902123731,3.411819021237304,3.5189463955637708,44.468413664014975,17.958910433979685,21.343951985226223,1.8953391785879095,5.603739612188366,8.715533980582524,4.7319387611077754
Portland,2113,9.681775035595633,18.15875946969697,13.26176753121998,16.589923954372622,78.63911580970687,65.67047075606277,1017.7941120607787,1016.7131591448932,6.343903772553308,6.058285714285715,41.98854415274463,16.365530303030305,20.831359545239224,2.5349786426198384,3.4540570175438594,6.570349805663521,3.701040798304032
Richmond,2060,11.294834307992202,24.4454766536965,16.50539480137322,23.135479115479114,76.893385982231,48.71033119130005,1018.83888617489,1015.7451470588236,6.217703349282297,5.55470737913486,34.83781143136297,6.866666666666666,14.84698381559588,2.136551724137931,5.301559633027523,,4.167469365256173
